beta,sigma,ramp_data_ramp_bf,ramp_data_step_bf,m,r,step_data_ramp_bf,step_data_step_bf
2.571428571428571,2.8787426920046064,-233.62102264163144,-234.56077439936095,28.571428571428573,1.0,-213.04799786401864,-212.36789673433242
4.0,0.555798197749255,-252.0217103972939,-254.97131209637817,25.0,5.0,-229.299746743388,-229.33472022755686
3.142857142857143,4.0,-257.17403293140046,-260.02538796736485,57.142857142857146,2.0,-178.74474713127128,-178.96694175538016
0.2857142857142857,0.07722790915533002,-187.6028773863447,-187.7489096308027,60.714285714285715,2.0,-204.479016438072,-203.43630519064953
4.0,0.2071789871692484,-254.79060108348375,-257.97782979266856,60.714285714285715,6.0,-189.01928847818925,-188.17529467317271
1.4285714285714284,1.4910374881259758,-194.60833343593143,-193.015520201184,53.57142857142857,1.0,-208.66487203402346,-207.09768477462896
2.2857142857142856,1.4910374881259758,-241.1696127583837,-242.71851171332617,42.85714285714286,2.0,-218.55740652143848,-217.68004479080085
2.2857142857142856,2.071789871692484,-207.22647457774028,-206.703922856303,75.0,2.0,-196.9770729121486,-195.83786353354674
3.142857142857143,0.05557981977492551,-253.11932002140674,-255.73076695371608,28.571428571428573,6.0,-235.1427683566663,-235.3479059642899
0.8571428571428571,0.1491037488125976,-229.1182645495668,-229.17789256252868,60.714285714285715,3.0,-223.72615886616936,-223.4176547734833
1.4285714285714284,4.0,-235.55140368263346,-237.65925003973555,60.714285714285715,3.0,-194.17243234786469,-192.46165298407627
0.2857142857142857,0.05557981977492551,-179.12538086858805,-180.53864162701194,46.42857142857143,4.0,-220.96322475795418,-219.97300772334827
0.5714285714285714,0.2878742692004608,-214.70799420509127,-213.9175970372853,39.285714285714285,5.0,-223.37436913579205,-222.21431823487544
2.571428571428571,1.0730783181118897,-241.01740865575152,-242.34820782423537,42.85714285714286,5.0,-219.9527097649808,-219.0623680837045
1.1428571428571428,0.1491037488125976,-230.37974307113646,-231.06075510758032,67.85714285714286,4.0,-190.6454438227766,-189.24394074658497
1.7142857142857142,1.0730783181118897,-236.33415750304815,-237.53940099085605,75.0,5.0,-197.10488151695353,-195.8624861497811
0.2857142857142857,0.10730783181118905,-188.84237768876596,-187.86915905005526,32.142857142857146,4.0,-218.29785260433678,-217.4519730007162
3.142857142857143,0.555798197749255,-256.3495215584967,-259.2333354460029,71.42857142857143,6.0,-193.11295642183265,-191.76630426193486
3.142857142857143,2.071789871692484,-243.33021191046095,-244.77614585756223,46.42857142857143,5.0,-207.64667257883073,-206.17059836905855
2.571428571428571,0.05557981977492551,-252.77388378695932,-255.50667526766952,71.42857142857143,2.0,-214.3972673895429,-213.28204736283902
2.571428571428571,0.555798197749255,-237.29866493988044,-238.40937698459874,28.571428571428573,1.0,-224.97556566687015,-225.68753922924648
1.1428571428571428,0.1491037488125976,-232.83345493817757,-233.55895924258652,35.714285714285715,6.0,-217.30728682859657,-216.81710720175172
1.1428571428571428,0.07722790915533002,-242.22265274123424,-243.09085886565205,50.0,1.0,-229.3059329360809,-229.58339277411764
1.7142857142857142,0.05557981977492551,-240.05045056912343,-242.05230919937966,46.42857142857143,5.0,-208.06986245458987,-206.79482367973338
3.714285714285714,1.4910374881259758,-232.27695736584647,-233.12625751289661,64.28571428571428,6.0,-196.4806884609484,-195.00211199784826
2.571428571428571,0.05557981977492551,-246.0985358965498,-248.068435736017,60.714285714285715,4.0,-222.63879474565638,-221.27325150399827
3.714285714285714,0.39999999999999997,-249.990163480435,-252.65236681891963,35.714285714285715,3.0,-216.55914718423904,-215.81706286111088
1.1428571428571428,0.2071789871692484,-234.68242083428652,-235.773606307443,42.85714285714286,4.0,-224.77790713751736,-223.99459891809545
1.1428571428571428,0.04000000000000001,-240.04039615744477,-241.43726714761846,46.42857142857143,5.0,-191.88991910827193,-190.01206046790972
3.4285714285714284,0.04000000000000001,-238.77874247582486,-241.18389317709114,42.85714285714286,6.0,-214.29358203259076,-212.76743530560086
