beta,sigma,ramp_data_ramp_bf,ramp_data_step_bf,m,r,step_data_ramp_bf,step_data_step_bf
1.7142857142857142,0.2878742692004608,-2583.3582254123558,-2585.8066069837428,25.0,3,-2362.418754003499,-2360.2063669650165
4.0,0.39999999999999997,-2581.7673346501474,-2588.7121853789354,42.85714285714286,3,-2269.551115553137,-2266.108492225605
3.4285714285714284,0.04000000000000001,-2610.495362199446,-2617.042977994483,46.42857142857143,1,-2248.13250632431,-2245.534668103259
2.0,0.555798197749255,-2435.5921942738555,-2437.580805735676,28.571428571428573,2,-2370.2828843025195,-2368.325728624287
4.0,4.0,-2671.8815957956303,-2682.015578576899,35.714285714285715,5,-2383.550397675873,-2377.532955120918
0.2857142857142857,2.071789871692484,-2396.038833033618,-2399.7665210427654,71.42857142857143,3,-1940.5417858108408,-1936.3289965048848
3.142857142857143,0.2071789871692484,-2587.5134742898586,-2598.2041175408567,50.0,3,-2323.0693112119166,-2320.0121505530933
3.4285714285714284,1.0730783181118897,-2479.8185429514974,-2481.008049185934,50.0,6,-2184.6296805609154,-2179.0886097712164
1.4285714285714284,0.07722790915533002,-2519.375591617779,-2520.9824602132107,42.85714285714286,5,-2251.9057768129965,-2247.780490178718
1.1428571428571428,0.1491037488125976,-2470.9517647320886,-2471.605243460471,28.571428571428573,6,-2370.8157201342956,-2369.5068209730935
