beta,sigma,ramp_data_ramp_bf,ramp_data_step_bf,m,r,step_data_ramp_bf,step_data_step_bf
2.0,0.10730783181118905,-788.1126159484886,-791.7035562094997,28.571428571428573,2,-701.612580731803,-703.9432098274983
2.0,0.1491037488125976,-764.1475650502234,-767.19029956933,75.0,5,-535.5994378091368,-531.9418787093504
2.2857142857142856,0.1491037488125976,-791.7345454158847,-794.3569642644193,64.28571428571428,5,-646.074201873135,-638.7436052782886
1.1428571428571428,0.10730783181118905,-715.7266903609807,-716.2174830223986,42.85714285714286,1,-694.4994686060046,-695.1031315385029
2.0,0.555798197749255,-778.9082044640194,-781.3682535257469,42.85714285714286,4,-681.8552586478892,-677.8770124558159
0.2857142857142857,0.2878742692004608,-582.1737158243468,-578.7647693424681,57.142857142857146,6,-630.7167365780682,-623.806862177566
0.2857142857142857,4.0,-765.9143961880694,-767.4142076031244,35.714285714285715,2,-684.4359570623229,-682.0710235952413
3.714285714285714,0.2878742692004608,-796.5117712082099,-801.6321162235116,60.714285714285715,3,-570.9683322104572,-565.6305993653473
2.0,0.2878742692004608,-779.0741616051156,-782.4155077502334,32.142857142857146,1,-712.6143539990309,-709.619529486214
0.8571428571428571,0.2878742692004608,-745.2478932642098,-744.8605172816472,42.85714285714286,2,-644.8310194704213,-639.2287795524292
2.8571428571428568,0.1491037488125976,-822.0023097333445,-828.1153434209615,35.714285714285715,5,-743.9400062945468,-743.5231232320049
2.2857142857142856,0.10730783181118905,-814.3091642522446,-820.7832401712417,46.42857142857143,1,-660.1514293163337,-657.7266515113041
3.714285714285714,0.39999999999999997,-798.115614609762,-802.3121326283141,75.0,6,-664.7803597487717,-661.4217347194455
0.5714285714285714,0.07722790915533002,-631.2875146501264,-627.4200939801542,67.85714285714286,1,-573.1717995445983,-567.079626483155
3.142857142857143,2.8787426920046064,-799.5586663320635,-804.7987895673606,53.57142857142857,5,-648.0174891267226,-643.7061610734602
2.571428571428571,0.1491037488125976,-741.2735538601007,-745.1045168519122,67.85714285714286,3,-593.7147706938401,-586.4089952164364
2.2857142857142856,0.555798197749255,-780.1915323411341,-779.6329012531982,67.85714285714286,3,-619.7200350502948,-613.5146446372235
