beta,sigma,ramp_data_ramp_bf,ramp_data_step_bf,m,r,step_data_ramp_bf,step_data_step_bf,ML_LLR_step,ML_LLR_ramp
1.4285714285714284,1.0730783181118897,-451.0730640489154,-451.1570397851148,42.85714285714286,1.0,-433.67204552554836,-433.2778148779084,6.906768,6.906768
3.714285714285714,1.4910374881259758,-517.1715615135115,-521.4647905735235,50.0,1.0,-416.67167161602674,-415.8681888263847,6.906768,6.906768
2.571428571428571,2.071789871692484,-456.7410537219251,-457.93810864508964,32.142857142857146,1.0,-453.04306514920626,-454.6524333182372,6.906768,6.906768
2.571428571428571,4.0,-491.3081720795025,-492.0663804247859,53.57142857142857,2.0,-384.72281402149804,-383.5667454266355,6.906768,6.906768
1.1428571428571428,1.4910374881259758,-488.87007714265496,-491.05009096926904,35.714285714285715,2.0,-473.6611740389217,-473.6192455041442,6.906768,6.906768
1.4285714285714284,0.39999999999999997,-406.97441643417466,-405.8769543771192,42.85714285714286,3.0,-408.2654506026847,-408.22089756104293,6.906768,6.906768
2.8571428571428568,1.4910374881259758,-471.52918006742664,-472.2029805314584,71.42857142857143,2.0,-306.5525049514904,-308.43554454797726,6.906768,6.906768
1.7142857142857142,0.07722790915533002,-486.4074720739158,-486.8546880962694,57.142857142857146,1.0,-428.8283513573185,-429.42558172254707,6.906768,6.906768
2.571428571428571,0.2071789871692484,-507.0779942585311,-507.77571523276146,42.85714285714286,2.0,-332.6711619519026,-343.41053108981885,6.906768,6.906768
1.4285714285714284,0.7722790915532998,-466.3516615358644,-466.8505489447659,64.28571428571428,4.0,-370.6682744678094,-370.5389131417094,6.906768,6.906768
0.8571428571428571,1.4910374881259758,-402.69914613151246,-404.00033605170194,46.42857142857143,2.0,-399.27609595648454,-400.3362131619626,6.906768,6.906768
1.4285714285714284,0.07722790915533002,-475.07513522437614,-474.3240439408119,53.57142857142857,1.0,-458.5918224999629,-457.5394461543245,6.906768,6.906768
1.1428571428571428,0.10730783181118905,-356.7770858440086,-355.7924554426138,64.28571428571428,1.0,-359.9115031110176,-361.6283913498991,6.906768,6.906768
1.1428571428571428,0.7722790915532998,-407.65052409830884,-406.67561592470076,35.714285714285715,1.0,-495.80276865934087,-496.7848533255169,6.906768,6.906768
3.142857142857143,0.2878742692004608,-483.57751052395014,-485.10138299825763,50.0,2.0,-399.79250195662155,-398.00327337198576,6.906768,6.906768
