beta,sigma,ramp_data_ramp_bf,ramp_data_step_bf,m,r,step_data_ramp_bf,step_data_step_bf,ML_LLR_step,ML_LLR_ramp
0.8571428571428571,0.05557981977492551,-782.0255800594174,-780.9463104280809,57.142857142857146,3.0,-790.6225603474061,-787.5930144835439,-2.3219783,-5.498579
1.7142857142857142,0.07722790915533002,-846.3073985545594,-849.5051363876643,64.28571428571428,1.0,-878.0573026495421,-879.371100397205,1.0633183,2.0175407
3.714285714285714,1.4910374881259758,-856.2973211326478,-861.8311676356494,64.28571428571428,1.0,-784.4319058535483,-781.11395005699,0.19408292,0.09269214
0.5714285714285714,2.8787426920046064,-896.0325503264845,-902.6912686184097,39.285714285714285,1.0,-841.6843728868326,-842.7042305235315,3.4646604,2.1076887
1.7142857142857142,0.555798197749255,-886.535805251488,-886.4817512100904,46.42857142857143,3.0,-787.6374900845275,-784.1732307102911,-0.5122116,0.23619634
2.571428571428571,0.7722790915532998,-910.7922537820035,-912.9454451487584,64.28571428571428,1.0,-885.5439728538763,-884.5016269780821,4.2346845,4.285794
2.8571428571428568,0.1491037488125976,-873.5693744663611,-877.3647904796553,42.85714285714286,1.0,-835.7556266642155,-833.6611861002624,-0.0143015385,3.865475
0.8571428571428571,2.8787426920046064,-890.6571006613638,-895.8895792565994,57.142857142857146,3.0,-811.707809119353,-810.5297933546292,0.1549061,4.464403
0.5714285714285714,0.2071789871692484,-820.7845379264178,-819.7200725673126,71.42857142857143,2.0,-725.009165691813,-722.6640429579006,0.18806231,-0.11309552
2.0,1.4910374881259758,-851.5229194511912,-854.0678382810897,50.0,1.0,-753.3312322473511,-750.9579227141699,2.0746243,-0.5139183
0.5714285714285714,2.071789871692484,-882.2303323292956,-884.6998470819161,42.85714285714286,3.0,-751.9763237001875,-745.5373418142642,-2.9610155,3.1164644
2.571428571428571,1.4910374881259758,-824.3670890139377,-826.5908156318778,53.57142857142857,2.0,-843.6453260003808,-844.2189277318565,3.3039713,-0.41946286
2.8571428571428568,1.0730783181118897,-910.2963469323674,-912.5013351574427,32.142857142857146,2.0,-808.3293801341009,-804.6641322357376,-0.6030338,2.9125493
1.1428571428571428,1.4910374881259758,-859.8799833696697,-861.136619759374,64.28571428571428,2.0,-807.2046164179048,-802.668437787044,-0.78114176,3.8323836
0.8571428571428571,2.8787426920046064,-931.0529324668391,-938.7326295331188,46.42857142857143,1.0,-791.426574152562,-784.6678873017071,-2.4893053,6.631924
0.8571428571428571,0.1491037488125976,-813.9203325793471,-810.9136557123948,50.0,1.0,-759.6110319472348,-756.6817633327062,-4.92152,-3.560712
2.0,2.071789871692484,-846.5927350587975,-846.3405164449114,67.85714285714286,1.0,-749.6878010598163,-745.4355452298418,-6.260895,0.5992062
0.8571428571428571,2.071789871692484,-873.4489313366397,-880.0358315917762,60.714285714285715,1.0,-764.7584476845624,-760.216741385682,-2.6077554,-1.1871626
