beta,sigma,ramp_data_ramp_bf,ramp_data_step_bf,m,r,step_data_ramp_bf,step_data_step_bf
1.4285714285714284,4.0,-422.4623444043762,-421.36087934579865,28.571428571428573,5.0,-492.7774138069012,-492.1081134434072
4.0,2.071789871692484,-517.414986118547,-520.6295929618649,53.57142857142857,6.0,-436.0843024495759,-432.9227510055727
3.142857142857143,1.4910374881259758,-483.0057368582236,-483.45351637924966,60.714285714285715,5.0,-407.96199689897674,-405.750078693011
3.142857142857143,0.7722790915532998,-491.9382260141475,-494.6645825320321,28.571428571428573,3.0,-468.2750266384413,-467.57154266575765
2.0,0.2878742692004608,-519.9851577739878,-521.3704757006872,46.42857142857143,1.0,-431.84607520412453,-430.24518771604426
0.5714285714285714,0.07722790915533002,-479.32240426935766,-479.0525417681407,35.714285714285715,1.0,-460.1292423046301,-461.5628876419661
2.2857142857142856,2.8787426920046064,-522.7945108548454,-524.602783630332,28.571428571428573,6.0,-481.77939175807336,-480.1882820830014
2.8571428571428568,2.071789871692484,-492.0673883126537,-494.18154183774203,35.714285714285715,3.0,-451.4519719641397,-448.39632261592345
1.7142857142857142,0.2071789871692484,-484.54200010415786,-484.3812621936686,60.714285714285715,1.0,-417.15059108326216,-415.9201328376172
3.142857142857143,1.0730783181118897,-505.92520820147035,-506.12778553099633,53.57142857142857,5.0,-467.1690526109292,-465.9948176169882
1.1428571428571428,0.2878742692004608,-508.7298414557275,-510.87581365017223,28.571428571428573,4.0,-469.210277067878,-469.31025415006684
1.1428571428571428,0.39999999999999997,-478.7733675764185,-478.5242517919792,71.42857142857143,6.0,-372.02344609783034,-370.08988856616946
0.0,0.04000000000000001,-375.75435369672914,-379.06148242904254,64.28571428571428,1.0,-454.07584994099074,-452.7095870483896
2.2857142857142856,1.0730783181118897,-494.1061312312943,-495.88099509149606,60.714285714285715,4.0,-384.40175506652406,-382.02549893982547
2.2857142857142856,0.39999999999999997,-537.3014776102855,-539.9279839281968,28.571428571428573,6.0,-455.58814509161493,-454.45969797076623
3.4285714285714284,2.8787426920046064,-488.58463892373186,-489.65328565767555,42.85714285714286,6.0,-432.819285208771,-431.05314462781996
2.2857142857142856,1.0730783181118897,-495.1656145784161,-497.2632807278998,25.0,6.0,-477.94252706104123,-477.511251719227
2.8571428571428568,1.4910374881259758,-493.90528400277265,-494.58585360227545,25.0,6.0,-494.1663135483843,-493.4155931359486
1.4285714285714284,0.05557981977492551,-506.6905959390787,-508.0654335560654,42.85714285714286,5.0,-433.8628552911744,-431.3168366714007
0.5714285714285714,0.10730783181118905,-390.5660696593836,-388.9854323894385,25.0,3.0,-433.34413750513716,-432.39419816485565
2.0,0.10730783181118905,-566.8598488502522,-570.8281045107233,71.42857142857143,1.0,-446.6456179061797,-444.64006078312747
2.2857142857142856,0.10730783181118905,-526.5779846150715,-529.0744500487966,71.42857142857143,6.0,-359.1154113348046,-359.19809405006134
3.4285714285714284,4.0,-538.8587640622399,-541.9131350701066,64.28571428571428,1.0,-437.3610130565842,-433.9192665995157
0.5714285714285714,0.1491037488125976,-430.1495939116231,-429.0417945586181,32.142857142857146,6.0,-466.797345466848,-465.04231444543774
