beta,sigma,ramp_data_ramp_bf,ramp_data_step_bf,m,r,step_data_ramp_bf,step_data_step_bf
3.714285714285714,0.2071789871692484,-10432.319699416816,-10466.40121768149,57.142857142857146,5,-8516.696042483947,-8504.07136231966
0.8571428571428571,0.07722790915533002,-9483.96666527641,-9482.157446241015,60.714285714285715,1,-8656.465453933753,-8652.160698146927
3.714285714285714,0.10730783181118905,-10473.491334007005,-10508.522362660446,60.714285714285715,6,-8192.557141814721,-8174.83356818932
2.571428571428571,0.555798197749255,-10044.924095977296,-10056.679060185752,64.28571428571428,3,-8306.058847753351,-8295.690609681486
1.1428571428571428,1.4910374881259758,-9150.869438706482,-9178.283325871116,28.571428571428573,6,-9372.266548778285,-9365.388161876861
1.4285714285714284,0.05557981977492551,-10119.432027409663,-10131.09044046385,53.57142857142857,3,-8433.170375319962,-8422.212182039144
1.4285714285714284,4.0,-10237.686494263722,-10256.567332175446,71.42857142857143,2,-8415.795992436375,-8403.904406643453
3.714285714285714,2.071789871692484,-10223.191298797394,-10240.589696086981,67.85714285714286,4,-8021.790129634426,-8003.463423493855
3.4285714285714284,0.05557981977492551,-10451.819102970776,-10485.306168403065,46.42857142857143,1,-9347.779160511896,-9342.926119044543
0.5714285714285714,0.04000000000000001,-7811.259067190562,-7827.038767148362,57.142857142857146,6,-8447.120912960452,-8437.94399569469
1.4285714285714284,0.1491037488125976,-9986.242348694079,-9989.400856324493,71.42857142857143,5,-7887.002214548093,-7876.224250907089
4.0,4.0,-10464.220604960265,-10498.26341707379,35.714285714285715,6,-8950.65084810993,-8937.370072510315
2.2857142857142856,1.0730783181118897,-9951.740756205274,-9960.018049663071,35.714285714285715,5,-8935.186009064877,-8919.894310808659
2.2857142857142856,1.4910374881259758,-9819.688205939532,-9834.399391399425,75.0,4,-8167.902641678366,-8156.54365234212
3.4285714285714284,1.0730783181118897,-10149.618245340125,-10156.993851400606,53.57142857142857,4,-8699.242676364267,-8689.883842172178
2.8571428571428568,4.0,-10493.78996013409,-10520.605153030443,53.57142857142857,1,-9007.807555023415,-9001.035476984105
1.7142857142857142,0.1491037488125976,-10016.514063116887,-10026.393809940879,50.0,1,-9147.479640440204,-9143.03023303547
2.571428571428571,0.10730783181118905,-10415.332528020053,-10445.852046701582,53.57142857142857,2,-8866.893466710198,-8858.563657549097
3.142857142857143,0.07722790915533002,-10466.903176058548,-10498.533588650318,67.85714285714286,3,-8384.957079038828,-8371.983880772152
1.4285714285714284,0.05557981977492551,-10024.319566501024,-10032.179523756678,57.142857142857146,1,-8599.302808567572,-8595.44538226829
0.5714285714285714,0.2071789871692484,-8937.447909726758,-8942.176910029591,75.0,6,-7847.429242828733,-7833.811117526103
2.0,0.10730783181118905,-10115.41505647601,-10129.465197937712,50.0,1,-9048.488130049545,-9039.549868657927
2.2857142857142856,0.39999999999999997,-10332.89148612746,-10358.130758598034,25.0,5,-9491.903818141818,-9481.804856581703
0.0,0.10730783181118905,-6438.170263004517,-6553.059536843532,50.0,6,-8579.19672413665,-8568.229069100084
0.5714285714285714,2.071789871692484,-9868.027379469804,-9883.332309981199,25.0,6,-9514.683550029398,-9501.430744891217
0.2857142857142857,0.555798197749255,-7576.937310769605,-7643.175148072663,35.714285714285715,4,-9265.54125850356,-9258.508874087858
1.7142857142857142,0.10730783181118905,-10100.146427110089,-10104.645091899925,64.28571428571428,4,-8064.364049538026,-8049.823769628339
2.8571428571428568,1.0730783181118897,-9847.289753103669,-9852.700553330422,57.142857142857146,3,-8718.838026421046,-8711.684537498651
2.8571428571428568,0.2878742692004608,-10494.556760952844,-10520.817042643042,46.42857142857143,2,-8918.66799718553,-8914.069708299006
2.0,0.39999999999999997,-10156.003529882655,-10168.665006687339,57.142857142857146,4,-8508.89329232191,-8502.215142996332
1.1428571428571428,0.555798197749255,-9455.996668831467,-9456.507280764716,75.0,1,-8377.012618296993,-8371.72752717724
3.4285714285714284,1.0730783181118897,-10044.175527286468,-10051.759784399044,25.0,2,-9695.53682688338,-9692.582121590189
2.571428571428571,0.2071789871692484,-10237.188065974999,-10261.821851577675,64.28571428571428,3,-8385.500548466469,-8369.798670795764
0.2857142857142857,4.0,-10178.404918321983,-10193.307695998414,67.85714285714286,2,-8075.085759126254,-8057.31658728213
2.2857142857142856,0.2071789871692484,-10199.616611039492,-10218.636891784503,75.0,4,-7780.924965390719,-7772.242805764351
3.714285714285714,0.05557981977492551,-10494.494001803976,-10522.312576375987,50.0,1,-8937.859311824217,-8927.211907838953
4.0,0.05557981977492551,-10433.262204169492,-10467.252975570033,35.714285714285715,5,-9071.227836204858,-9063.756655294917
0.5714285714285714,0.05557981977492551,-8444.679981319769,-8455.520679933012,75.0,4,-8152.097696657999,-8144.341332696078
1.4285714285714284,1.0730783181118897,-9417.092338787086,-9436.09314616733,28.571428571428573,2,-9482.635216006904,-9479.075001127125
0.2857142857142857,0.07722790915533002,-7904.272629642942,-7916.532594161723,57.142857142857146,3,-8677.45521778421,-8673.08655546731
3.142857142857143,0.04000000000000001,-10338.425185615755,-10360.78844455791,53.57142857142857,5,-8580.761940208566,-8568.69460963057
2.571428571428571,0.07722790915533002,-10133.414231637604,-10145.136068125954,42.85714285714286,3,-8945.257407833966,-8934.301348710549
0.2857142857142857,0.7722790915532998,-8277.093971713753,-8316.961063913586,25.0,5,-9648.48309192874,-9643.84372232439
1.1428571428571428,0.07722790915533002,-9852.790137767153,-9855.724979433517,67.85714285714286,1,-8608.395788187025,-8593.970057537834
1.1428571428571428,0.04000000000000001,-10050.75304850198,-10055.933071156569,46.42857142857143,5,-8653.222277150653,-8642.988346462062
3.142857142857143,0.10730783181118905,-10301.92603449191,-10328.909961073301,71.42857142857143,1,-8403.672270813991,-8394.112870889352
3.142857142857143,1.4910374881259758,-10104.771886102611,-10111.167263324342,57.142857142857146,3,-8546.727469551946,-8537.225780445324
0.8571428571428571,0.07722790915533002,-9441.622457881394,-9448.733776458936,67.85714285714286,2,-8329.27807180899,-8318.42163941037
1.4285714285714284,1.0730783181118897,-9705.816448526442,-9707.206686481304,67.85714285714286,3,-8356.846730131372,-8343.765401152448
3.142857142857143,2.8787426920046064,-10224.344149648889,-10243.633441158738,71.42857142857143,6,-8082.665899688498,-8067.781570446803
