beta,sigma,ramp_data_ramp_bf,ramp_data_step_bf,m,r,step_data_ramp_bf,step_data_step_bf
1.4285714285714284,1.0730783181118897,-1375.7368758529037,-1377.8620034631588,71.42857142857143,6.0,-1179.4109742750127,-1181.4496085738551
1.1428571428571428,0.555798197749255,-1321.2310644468994,-1323.417615855992,57.142857142857146,1.0,-1306.792321641287,-1308.7720108941041
1.1428571428571428,0.04000000000000001,-1423.8261099438528,-1428.3292954084045,28.571428571428573,3.0,-1380.2579353413712,-1382.7519228537444
2.2857142857142856,0.555798197749255,-1447.8614229209109,-1454.190580699068,71.42857142857143,5.0,-1138.163740367052,-1140.2108788561552
1.7142857142857142,0.2878742692004608,-1442.9798822032353,-1448.5535481098602,28.571428571428573,4.0,-1367.4364169557339,-1368.865305231647
2.8571428571428568,0.05557981977492551,-1489.2611137001597,-1500.4886220947735,67.85714285714286,4.0,-1209.356608251433,-1211.3391793389476
3.714285714285714,1.4910374881259758,-1489.4780560552038,-1499.220154550322,32.142857142857146,1.0,-1366.869196974552,-1369.6555167189713
2.571428571428571,0.04000000000000001,-1463.2557875824184,-1473.5773188698665,35.714285714285715,6.0,-1304.4118186341593,-1305.5217835951478
1.1428571428571428,2.8787426920046064,-1450.6941842811711,-1456.9323488619243,67.85714285714286,6.0,-1157.8449621252037,-1158.413041544107
2.8571428571428568,1.0730783181118897,-1440.068504661494,-1446.2186329913752,64.28571428571428,6.0,-1201.7294646821747,-1203.1753362801373
0.8571428571428571,0.1491037488125976,-1371.5432338769979,-1375.4157052396872,39.285714285714285,3.0,-1280.2707489761158,-1281.7404825879073
0.2857142857142857,1.0730783181118897,-1214.0360366424115,-1215.6636786774166,64.28571428571428,5.0,-1166.3009967362054,-1167.9810070867652
3.142857142857143,1.4910374881259758,-1434.93933280811,-1438.3903665141547,60.714285714285715,4.0,-1204.9395705586771,-1205.743304608943
2.571428571428571,2.8787426920046064,-1487.7905993204943,-1497.422464879894,35.714285714285715,2.0,-1419.0173034193147,-1421.5166819560939
2.571428571428571,0.2878742692004608,-1457.395801287521,-1467.28757813926,71.42857142857143,3.0,-1204.7961244350818,-1207.4070712008806
1.1428571428571428,1.0730783181118897,-1361.3195041113538,-1361.9733640470645,64.28571428571428,6.0,-1205.0173565583386,-1206.3948368122033
0.2857142857142857,1.0730783181118897,-1191.467525397628,-1195.3504873559639,64.28571428571428,5.0,-1190.1765959549725,-1190.817185661086
3.142857142857143,0.2878742692004608,-1466.114007107664,-1476.5748399466527,32.142857142857146,1.0,-1378.1118299500558,-1380.5771858153898
2.0,1.4910374881259758,-1470.847445454549,-1478.1925528575719,57.142857142857146,3.0,-1275.4894481435401,-1278.3557051937153
3.714285714285714,0.1491037488125976,-1507.3374718324474,-1522.2269508725537,42.85714285714286,4.0,-1315.3877073075203,-1316.4783942300776
0.5714285714285714,0.1491037488125976,-1288.3521297550096,-1292.0502180003307,67.85714285714286,3.0,-1203.4022734273103,-1204.7457351090502
2.2857142857142856,0.07722790915533002,-1480.3657322986267,-1488.7593742369966,60.714285714285715,2.0,-1239.4825173172906,-1242.1581052833947
0.8571428571428571,0.04000000000000001,-1330.5762563371677,-1334.7913588572221,50.0,1.0,-1315.5281917675823,-1317.7043330045335
1.4285714285714284,0.1491037488125976,-1450.8312302897084,-1456.0226852641076,67.85714285714286,4.0,-1191.0602962912503,-1190.985748149449
2.8571428571428568,4.0,-1476.104839142966,-1485.7129171960069,57.142857142857146,6.0,-1236.7621598023347,-1237.9514007053021
2.0,0.2071789871692484,-1459.2233204865165,-1467.029370339894,67.85714285714286,3.0,-1204.44195906908,-1205.952889091175
3.142857142857143,0.05557981977492551,-1500.1324958542568,-1513.0027191695765,75.0,3.0,-1122.1302714469077,-1124.705228517011
2.2857142857142856,0.2878742692004608,-1471.4626790434108,-1481.075605770472,42.85714285714286,1.0,-1377.492070278652,-1380.4026826304414
3.142857142857143,0.05557981977492551,-1480.9849094749732,-1493.2154394005972,64.28571428571428,4.0,-1191.0462803728437,-1191.3407626185758
2.2857142857142856,0.7722790915532998,-1461.3789647931349,-1468.832900147056,71.42857142857143,4.0,-1112.3856061640918,-1115.2828085856186
2.0,0.1491037488125976,-1463.065818321808,-1471.0662700337152,32.142857142857146,6.0,-1345.3638604147848,-1346.1791606905076
2.8571428571428568,0.04000000000000001,-1458.3647164231604,-1468.979072128319,46.42857142857143,6.0,-1234.8388354974336,-1236.965250276623
0.8571428571428571,1.4910374881259758,-1311.1486427276416,-1310.0071663051674,60.714285714285715,1.0,-1317.7427722893894,-1320.0220780869522
2.0,0.07722790915533002,-1464.183905613376,-1471.4605831659558,42.85714285714286,5.0,-1249.4810795139776,-1250.8175647130868
0.5714285714285714,0.39999999999999997,-1276.1925813236362,-1279.5722122396212,42.85714285714286,5.0,-1260.9194077511002,-1263.366106908123
2.2857142857142856,2.8787426920046064,-1479.391881916753,-1489.478001995772,75.0,1.0,-1276.4926546062438,-1278.3304021747394
2.8571428571428568,0.7722790915532998,-1479.990074909521,-1488.0174212736586,71.42857142857143,5.0,-1199.4855864646406,-1200.4977394007797
3.714285714285714,2.8787426920046064,-1464.1881311216632,-1469.6633138370298,42.85714285714286,1.0,-1325.010725914392,-1327.1089864853082
1.4285714285714284,0.05557981977492551,-1443.685887511745,-1449.7175693192335,32.142857142857146,5.0,-1375.9997239904112,-1377.8153623628657
0.5714285714285714,2.071789871692484,-1430.0147986021948,-1432.4859539169115,28.571428571428573,5.0,-1363.759049093471,-1365.0720863290724
1.7142857142857142,0.2878742692004608,-1454.2643496233907,-1461.9937758269343,71.42857142857143,2.0,-1221.1221999321854,-1222.875160142919
1.1428571428571428,2.8787426920046064,-1457.5714944004153,-1463.7405134691555,64.28571428571428,4.0,-1129.3737218659799,-1131.5922148282546
3.4285714285714284,2.8787426920046064,-1442.261651397092,-1448.067061776112,71.42857142857143,4.0,-1158.7764083763113,-1160.225823405284
1.4285714285714284,0.05557981977492551,-1447.6165364946005,-1454.2505533089077,57.142857142857146,5.0,-1217.4551933325286,-1217.849647973063
3.714285714285714,0.04000000000000001,-1485.5966225261664,-1499.4478846097732,53.57142857142857,4.0,-1237.233148688586,-1238.881937821822
1.1428571428571428,2.8787426920046064,-1450.001051647257,-1454.6338147829713,39.285714285714285,5.0,-1284.3648170251981,-1285.5488644505856
2.0,0.39999999999999997,-1440.9474351508243,-1445.6341366312856,28.571428571428573,1.0,-1360.2582817632467,-1363.0138555409874
3.714285714285714,0.39999999999999997,-1500.085334524302,-1512.3778318016837,35.714285714285715,6.0,-1323.0242941010865,-1323.8515612588637
0.5714285714285714,0.10730783181118905,-1288.4276522852174,-1293.8766286894956,42.85714285714286,3.0,-1348.567242267664,-1350.4521976472256
0.8571428571428571,2.8787426920046064,-1496.636874633032,-1505.5095262996963,64.28571428571428,5.0,-1171.95003337743,-1172.9063998016745
2.2857142857142856,2.071789871692484,-1460.672629718114,-1466.9046795860922,42.85714285714286,5.0,-1272.7492588635102,-1272.228810932676
2.571428571428571,0.05557981977492551,-1441.4358315700642,-1449.2838229577171,50.0,5.0,-1261.6708884365487,-1261.717617252098
1.7142857142857142,0.2071789871692484,-1458.6142063142283,-1465.8110709470168,32.142857142857146,5.0,-1351.1060275364962,-1352.09319761723
0.8571428571428571,1.4910374881259758,-1190.0776789364509,-1190.2474602992413,28.571428571428573,6.0,-1322.0751105621746,-1323.2845967236512
3.4285714285714284,0.1491037488125976,-1507.7865464713373,-1521.2901386428753,46.42857142857143,2.0,-1257.6698578719504,-1259.2691216137812
2.2857142857142856,0.07722790915533002,-1495.184427333319,-1505.4891937123832,25.0,5.0,-1385.672960961185,-1388.0031763975044
0.8571428571428571,0.2071789871692484,-1376.3598870699082,-1379.9852792663785,57.142857142857146,5.0,-1230.4918753793083,-1231.6381688830675
4.0,2.8787426920046064,-1454.5258711708193,-1461.1483071807156,32.142857142857146,5.0,-1331.9911659021955,-1332.6531174429888
1.4285714285714284,0.2878742692004608,-1453.3021894458996,-1460.2953442969704,32.142857142857146,3.0,-1373.3370600898354,-1375.3801276805561
2.571428571428571,0.555798197749255,-1489.4139332734917,-1500.3279525657238,28.571428571428573,1.0,-1308.8943149441914,-1309.8857674325686
1.7142857142857142,2.071789871692484,-1440.9542509553337,-1445.4980411112047,28.571428571428573,5.0,-1354.648873631863,-1355.9211490278794
2.571428571428571,2.071789871692484,-1397.5365586831947,-1398.8423769632527,60.714285714285715,6.0,-1191.5619446624028,-1192.5652563438614
3.714285714285714,2.8787426920046064,-1498.3237939929552,-1509.7088196776454,57.142857142857146,2.0,-1155.3854972048966,-1157.611614914604
3.4285714285714284,0.39999999999999997,-1466.513715637819,-1477.104291327225,46.42857142857143,2.0,-1257.788715914851,-1260.4671773461812
4.0,2.071789871692484,-1499.2176192642069,-1510.2499751176279,67.85714285714286,1.0,-1236.527505375536,-1238.860591476284
0.8571428571428571,0.07722790915533002,-1373.6242464851682,-1377.2199491692668,46.42857142857143,4.0,-1243.0098794275104,-1245.4113814228529
0.8571428571428571,0.04000000000000001,-1317.618804877484,-1321.5541796955824,25.0,2.0,-1407.08469594481,-1410.1549453641535
3.4285714285714284,0.2071789871692484,-1493.7377624114847,-1507.3589390821546,28.571428571428573,4.0,-1385.963744238417,-1387.1276935975154
0.2857142857142857,0.39999999999999997,-1083.5947394401082,-1087.6300430855374,46.42857142857143,6.0,-1229.4397305050381,-1231.3741821809087
