beta,sigma,ramp_data_ramp_bf,ramp_data_step_bf,m,r,step_data_ramp_bf,step_data_step_bf
2.2857142857142856,0.07722790915533002,-1477.8607729078396,-1486.6225118367697,28.571428571428573,1.0,-1409.2497885340038,-1411.5021897677404
2.2857142857142856,1.0730783181118897,-1458.3227685872273,-1464.6285749636647,60.714285714285715,1.0,-1277.5786722062883,-1279.385419941567
3.142857142857143,4.0,-1516.534882962349,-1528.0552594685387,46.42857142857143,5.0,-1284.6984106451237,-1286.6237686675163
0.8571428571428571,0.04000000000000001,-1330.6172574167974,-1333.9101718601703,53.57142857142857,6.0,-1232.4273341929234,-1232.4705928652331
3.4285714285714284,0.1491037488125976,-1510.001281253157,-1524.1415946598156,57.142857142857146,3.0,-1246.7273166153718,-1248.9211794538219
1.7142857142857142,0.10730783181118905,-1438.6787397255544,-1444.1418163556143,53.57142857142857,6.0,-1252.0684966093922,-1252.2379774101173
2.0,0.7722790915532998,-1378.1500051291325,-1380.043543592949,57.142857142857146,6.0,-1211.4637046429948,-1213.0279136888869
1.1428571428571428,2.071789871692484,-1415.6568315627726,-1418.769796711903,64.28571428571428,5.0,-1196.435636396064,-1196.263382778618
2.571428571428571,0.04000000000000001,-1459.9339214339554,-1468.0701398546041,64.28571428571428,3.0,-1282.6418740397457,-1283.2785888130798
2.0,0.2071789871692484,-1461.5194136973425,-1470.0450133457746,71.42857142857143,6.0,-1162.8892514759516,-1163.5720353744045
2.571428571428571,2.071789871692484,-1477.9400286310117,-1483.7991475663207,67.85714285714286,3.0,-1106.0280241334256,-1109.6698124479533
0.2857142857142857,0.7722790915532998,-1040.0689958911898,-1047.5094331352695,67.85714285714286,6.0,-1123.3282816059552,-1124.9292853967465
0.8571428571428571,0.7722790915532998,-1262.3226549774863,-1262.1995041384325,53.57142857142857,5.0,-1291.2844112956086,-1291.6805640425605
2.2857142857142856,0.2878742692004608,-1481.988906685071,-1490.3300775260632,71.42857142857143,1.0,-1205.432492982947,-1205.8391906373176
0.2857142857142857,0.555798197749255,-1174.4203134489449,-1176.7332385742268,32.142857142857146,2.0,-1387.1393144357532,-1388.6351383068313
1.7142857142857142,0.2071789871692484,-1456.6012387494104,-1461.971716358227,57.142857142857146,6.0,-1190.193560591834,-1191.3053908416034
0.5714285714285714,4.0,-1519.0812038959666,-1532.112580741208,28.571428571428573,2.0,-1374.2500988752158,-1376.215491124487
0.0,0.04000000000000001,-950.2925871216235,-969.8647890893893,60.714285714285715,6.0,-1136.9050364286552,-1137.9523764422265
0.0,1.4910374881259758,-1244.8733367518244,-1247.1921702040931,64.28571428571428,4.0,-1189.6427208988393,-1190.5710422128777
2.571428571428571,0.39999999999999997,-1463.1573929649085,-1470.9786152902966,50.0,2.0,-1294.4400213447802,-1295.5408105368265
3.142857142857143,0.39999999999999997,-1491.1323161164319,-1501.9827359688547,25.0,6.0,-1381.6334608118163,-1382.8868622864168
