beta,sigma,ramp_data_ramp_bf,ramp_data_step_bf,m,r,step_data_ramp_bf,step_data_step_bf
4.0,2.8787426920046064,-2434.2407186006603,-2443.1941771112674,64.28571428571428,6.0,-1967.1518846711992,-1970.283059994895
0.5714285714285714,0.7722790915532998,-2121.316841698931,-2124.7966415427677,53.57142857142857,1.0,-2224.9890616546913,-2229.6450818928097
3.714285714285714,0.04000000000000001,-2521.9570529827984,-2543.441008088098,46.42857142857143,4.0,-2089.668528198756,-2093.455151850723
0.8571428571428571,0.555798197749255,-2199.0763771504157,-2202.9148398349926,28.571428571428573,3.0,-2263.4626670020384,-2267.434202742475
3.4285714285714284,0.7722790915532998,-2518.2118348166377,-2536.9242209231907,50.0,6.0,-2004.5633669771696,-2006.8930223136251
3.714285714285714,0.10730783181118905,-2516.062960483845,-2532.6493030963084,39.285714285714285,5.0,-2125.6158283010254,-2129.33530937281
2.0,2.8787426920046064,-2454.278704563086,-2465.1676146548693,28.571428571428573,3.0,-2279.932830567218,-2284.120698109272
1.1428571428571428,0.7722790915532998,-2231.0638452224007,-2234.6363264609463,67.85714285714286,1.0,-2107.190189965322,-2111.2157221354887
4.0,2.071789871692484,-2460.068001812619,-2470.035496193223,39.285714285714285,5.0,-2177.6850681611586,-2180.35620676261
4.0,0.2878742692004608,-2509.7850642266526,-2530.563060143331,46.42857142857143,4.0,-2044.2705148229543,-2048.1852016312523
1.1428571428571428,0.555798197749255,-2271.3635924082287,-2275.46822819869,46.42857142857143,6.0,-2125.9841439933225,-2129.4867451593577
1.1428571428571428,0.7722790915532998,-2156.9786744005532,-2158.9373035494955,50.0,2.0,-2109.4737594396,-2115.533919783691
3.4285714285714284,0.1491037488125976,-2513.705503222376,-2532.3945874840074,75.0,5.0,-1904.896911410481,-1908.4143291119358
3.714285714285714,2.071789871692484,-2396.5881591839525,-2403.6144865348992,60.714285714285715,1.0,-2158.582574856065,-2162.1274867102047
3.714285714285714,2.8787426920046064,-2438.5400555413103,-2448.320621754307,32.142857142857146,6.0,-2218.1056077607104,-2219.846191709815
3.4285714285714284,0.10730783181118905,-2447.6117008132687,-2464.1383357513027,75.0,4.0,-1886.4053126121385,-1891.9112603613435
0.8571428571428571,0.05557981977492551,-2269.5030122568432,-2275.2017035769236,71.42857142857143,6.0,-1924.8639805617634,-1929.2647658086362
