beta,sigma,ramp_data_ramp_bf,ramp_data_step_bf,m,r,step_data_ramp_bf,step_data_step_bf
4.0,0.3097054730724508,-1811.4203137242466,-1824.7055528987771,69.44444444444444,4.0,-2665.185344266994,-2644.9490783002693
1.7777777777777777,1.4375254655218501,-1643.5621088014102,-1645.5280451323338,41.666666666666664,5.0,-3293.7916413008425,-3258.8813429635934
0.0,0.11130237608828498,-594.8266576485852,-618.717085286838,75.0,6.0,-2530.032369724695,-2501.7198955923045
4.0,1.4375254655218501,-1723.6299562504814,-1730.8560108292427,36.111111111111114,6.0,-3470.563407325604,-3446.806653790083
0.8888888888888888,1.4375254655218501,-1567.2830766717123,-1566.5970398834188,63.888888888888886,6.0,-2848.985675633596,-2804.5307482211624
1.7777777777777777,0.18566355334451112,-1604.2697617971476,-1613.2347864452151,25.0,5.0,-3941.236935894279,-3927.2843071469547
3.5555555555555554,2.3979370012757624,-1655.387784341247,-1658.5618967391788,47.22222222222222,2.0,-3310.7315257224136,-3294.6524975887182
0.0,0.18566355334451112,-704.0791532502544,-748.4887484555722,63.888888888888886,2.0,-3058.791635388804,-3033.5766445289637
2.6666666666666665,0.11130237608828498,-1618.6945985481134,-1625.7379053778488,58.33333333333333,2.0,-3206.3986746286464,-3183.9064049952776
2.6666666666666665,2.3979370012757624,-1825.5790589408725,-1836.05457179878,58.33333333333333,3.0,-2878.442545019111,-2847.4683388205776
4.0,4.0,-1721.860818222879,-1727.676475694664,63.888888888888886,5.0,-2892.8067265391333,-2862.114725882066
0.8888888888888888,1.4375254655218501,-1512.4141067308017,-1513.8547859567161,58.33333333333333,6.0,-2894.9736989268727,-2856.640372014753
0.0,0.18566355334451112,-742.9953310442819,-765.0659105325824,58.33333333333333,2.0,-3237.087410372923,-3218.5839959216814
0.0,0.3097054730724508,-749.1109268414365,-780.565249747348,47.22222222222222,6.0,-2986.7944770641134,-2948.1661063034394
2.6666666666666665,1.4375254655218501,-1679.8701244979165,-1682.911831589526,25.0,1.0,-3904.2736830120148,-3894.959234388287
0.0,0.5166198660059534,-832.4462707501698,-845.644982336178,47.22222222222222,5.0,-3155.8613540074234,-3117.5004981646575
1.7777777777777777,0.8617738760127531,-1632.4018109939705,-1631.1639809828735,47.22222222222222,6.0,-3153.9605791566196,-3112.9794275804184
0.8888888888888888,0.5166198660059534,-1476.8589469328767,-1490.1364399227978,47.22222222222222,2.0,-3532.216425825758,-3521.814841359231
4.0,0.04000000000000001,-1751.9774846448886,-1765.607956368926,58.33333333333333,3.0,-2866.470319223973,-2830.1562798573627
0.4444444444444444,2.3979370012757624,-1701.4119504651076,-1704.4628647511151,58.33333333333333,5.0,-2810.0074744435287,-2758.033512061671
