beta,sigma,ramp_data_ramp_bf,ramp_data_step_bf,m,r,step_data_ramp_bf,step_data_step_bf
3.714285714285714,0.04000000000000001,-497.99851662572934,-499.75109149512997,71.42857142857143,5.0,-427.5455151977287,-426.73000099034994
1.4285714285714284,1.0730783181118897,-472.54295902448484,-473.4034701046485,32.142857142857146,2.0,-494.8854664874674,-493.32864880871574
2.0,0.555798197749255,-500.1974079155077,-503.1458729251265,71.42857142857143,2.0,-387.5227845570393,-385.33036788665896
0.5714285714285714,0.07722790915533002,-426.6393526948151,-425.4925884184055,42.85714285714286,2.0,-445.9908640375574,-443.2423671805629
3.142857142857143,0.1491037488125976,-528.9051507745612,-531.7982758518222,71.42857142857143,5.0,-394.8681481172469,-392.156252519012
0.0,0.2878742692004608,-282.71943546017224,-289.3708839317409,28.571428571428573,5.0,-451.35654772458514,-450.6100567468307
0.2857142857142857,0.2878742692004608,-408.19549514578085,-404.110776184483,32.142857142857146,1.0,-466.25716745175214,-464.02291390562453
3.4285714285714284,0.7722790915532998,-498.2847838248407,-500.1377526099676,57.142857142857146,2.0,-454.6098143307779,-452.2895600395349
0.2857142857142857,2.8787426920046064,-495.13814797645034,-497.6043751303032,60.714285714285715,5.0,-429.28004585794315,-428.9915734382005
1.1428571428571428,0.10730783181118905,-520.7808613007461,-522.7692245510419,25.0,6.0,-489.63600321211794,-491.4086080626301
0.8571428571428571,0.555798197749255,-420.5991775799115,-418.4670041121735,60.714285714285715,1.0,-454.02505557346217,-452.2246499986365
2.8571428571428568,0.2878742692004608,-508.9069091224783,-512.5904078912239,39.285714285714285,1.0,-502.5581729873459,-502.816609006713
2.8571428571428568,4.0,-528.3563855864893,-530.5033559195194,39.285714285714285,1.0,-434.84012885942,-434.06800270680753
3.142857142857143,0.07722790915533002,-518.4388441609638,-520.8541860154827,35.714285714285715,1.0,-452.045445826638,-450.8079312199076
3.714285714285714,4.0,-481.9777568455,-482.8701573331808,67.85714285714286,4.0,-396.50672566659455,-393.8583573971675
2.0,4.0,-481.9397978600755,-482.1816864037365,60.714285714285715,3.0,-429.9554732119882,-427.68283237592794
2.8571428571428568,0.7722790915532998,-541.4898263208851,-546.0141149252044,64.28571428571428,2.0,-455.91547904511975,-452.1099702350227
1.4285714285714284,0.10730783181118905,-444.8314259221965,-443.0094712016795,50.0,6.0,-426.6044992357809,-423.64952081510904
0.0,1.0730783181118897,-403.7111505986897,-412.7357351311931,71.42857142857143,6.0,-371.53764736516536,-369.6326000197698
3.714285714285714,0.2878742692004608,-508.83114456634894,-512.3900750322018,75.0,6.0,-395.50125428673425,-391.93697902490294
0.5714285714285714,2.071789871692484,-440.61487948893557,-442.0126238615215,39.285714285714285,4.0,-487.63072265388286,-486.2786434242995
1.4285714285714284,0.2071789871692484,-465.3128200692175,-466.02784457619055,25.0,1.0,-481.10723293930823,-481.7396906672211
3.4285714285714284,0.04000000000000001,-517.4307588780497,-520.4470819501163,32.142857142857146,3.0,-441.04900457892074,-438.89001490235665
2.0,0.10730783181118905,-492.2991829604813,-493.95944342743724,28.571428571428573,3.0,-449.25321667414494,-448.6720820394887
