beta,sigma,ramp_data_ramp_bf,ramp_data_step_bf,m,r,step_data_ramp_bf,step_data_step_bf
0.0,0.2071789871692484,-103.09738565853247,-105.34020019023876,60.714285714285715,3.0,-162.92231076775468,-159.99311164183675
3.714285714285714,0.10730783181118905,-249.3073839976923,-252.09708668363322,39.285714285714285,1.0,-183.35688227199748,-179.95184311811033
0.5714285714285714,0.555798197749255,-211.2004296862237,-211.308700338674,32.142857142857146,6.0,-207.8840090613195,-207.47148134798996
0.2857142857142857,2.8787426920046064,-282.792662314689,-285.81427171568345,42.85714285714286,3.0,-193.91802584764264,-192.12045823587474
1.1428571428571428,0.05557981977492551,-255.44160189207315,-256.39991222601094,75.0,2.0,-180.0795655825095,-177.31107496721498
3.142857142857143,0.07722790915533002,-241.64994856266338,-244.6241532447874,67.85714285714286,6.0,-210.4147546117841,-208.06114955851294
3.142857142857143,0.04000000000000001,-267.32328567251227,-271.28739643777317,46.42857142857143,4.0,-188.42802808626445,-183.0221225752683
2.2857142857142856,2.8787426920046064,-282.65618808544053,-285.42966463471976,46.42857142857143,1.0,-143.72551217865362,-142.4167343961002
0.0,0.2071789871692484,-185.40170040024304,-189.52283722931887,28.571428571428573,2.0,-251.98964348888748,-250.67114855771837
4.0,0.7722790915532998,-246.9652087511161,-248.9550685761186,35.714285714285715,3.0,-250.4398610098138,-251.02490807156113
3.714285714285714,4.0,-246.58409556267233,-247.62451596950476,46.42857142857143,3.0,-178.16445816083467,-176.37205473413425
2.571428571428571,0.2878742692004608,-249.07902333057442,-251.7138178899707,64.28571428571428,3.0,-158.8619639764756,-155.21211617412473
1.1428571428571428,0.39999999999999997,-233.92166042345627,-235.73605350596134,71.42857142857143,4.0,-107.87777441085838,-109.42617818926757
1.4285714285714284,0.07722790915533002,-244.56310447392633,-246.08232517679053,75.0,4.0,-162.81193690473006,-161.60545701466012
1.4285714285714284,0.555798197749255,-237.2659966142128,-238.69309583108657,32.142857142857146,1.0,-233.74940006726177,-234.15554523211566
3.4285714285714284,0.1491037488125976,-236.99375610836256,-238.33953493902598,25.0,5.0,-209.42884950766643,-208.21589181177188
2.2857142857142856,1.0730783181118897,-230.97643759702447,-234.49112335634422,46.42857142857143,4.0,-200.53599789612244,-197.54869839397495
2.2857142857142856,0.1491037488125976,-262.4359415582536,-265.0723256508288,64.28571428571428,6.0,-209.83130413253778,-207.00245655747597
0.2857142857142857,0.1491037488125976,-122.99275798278754,-126.64147744958787,50.0,5.0,-164.73173642250475,-162.0855172187423
2.571428571428571,0.2878742692004608,-233.93757910749167,-236.05151871932776,75.0,5.0,-153.54039276854087,-151.91666803540073
